limit_saver,protect_business,avg_revenue,load_factor,avg_spoilage,avg_denied_business,avg_denied_flex
74,2,36620.69,0.8364898148148148,29.431833333333334,0.2318,0.0025666666666666667
74,4,36621.074,0.8364898148148148,29.431833333333334,0.23073333333333335,0.0036333333333333335
74,6,36621.50066666667,0.8364894444444444,29.4319,0.2295,0.004933333333333333
74,8,36622.11066666667,0.836488888888889,29.432,0.22773333333333334,0.0068
74,10,36623.003333333334,0.836487962962963,29.432166666666667,0.22513333333333332,0.009566666666666666
74,12,36624.344666666664,0.836486111111111,29.4325,0.22116666666666668,0.013866666666666666
74,14,36626.028666666665,0.8364805555555554,29.4335,0.21576666666666666,0.020266666666666665
74,16,36628.286,0.8364698148148149,29.435433333333332,0.2081,0.029866666666666666
74,18,36630.812666666665,0.8364461111111112,29.4397,0.198,0.04423333333333333
74,20,36633.57266666667,0.8364027777777778,29.4475,0.1847,0.06533333333333333
74,22,36635.91333333333,0.836324074074074,29.461666666666666,0.16796666666666665,0.09623333333333334
74,24,36636.511333333336,0.8361835185185186,29.486966666666667,0.14803333333333332,0.14146666666666666
74,26,36634.28133333333,0.8359574074074073,29.527666666666665,0.12483333333333334,0.20536666666666667
74,28,36626.606,0.8356098148148148,29.590233333333334,0.10096666666666666,0.2918
74,30,36611.12266666667,0.8351033333333333,29.6814,0.07813333333333333,0.4058
74,32,36584.823333333334,0.8343790740740741,29.811766666666667,0.05703333333333333,0.5572666666666667
74,34,36543.89466666667,0.8333788888888888,29.9918,0.0407,0.7536333333333334
74,36,36487.21133333333,0.8320679629629629,30.227766666666668,0.027733333333333332,1.0025666666666666
74,38,36412.236666666664,0.8303905555555556,30.5297,0.017933333333333332,1.3143
74,40,36316.116,0.8282792592592594,30.90973333333333,0.010466666666666668,1.7018
76,0,36808.66133333333,0.8471003703703704,27.521933333333333,0.3142333333333333,0.0025666666666666667
76,2,36809.045333333335,0.8471003703703704,27.521933333333333,0.31316666666666665,0.0036333333333333335
76,4,36809.513333333336,0.8471003703703704,27.521933333333333,0.3118666666666667,0.004933333333333333
76,6,36810.144,0.8471000000000001,27.522,0.31006666666666666,0.0068
76,8,36811.078,0.8470994444444445,27.5221,0.3074,0.009566666666666666
76,10,36812.502,0.8470983333333333,27.5223,0.3033,0.013866666666666666
76,12,36814.496,0.8470955555555556,27.5228,0.2974,0.020266666666666665
76,14,36817.104666666666,0.847087962962963,27.524166666666666,0.2891666666666667,0.029866666666666666
76,16,36820.437333333335,0.8470714814814815,27.52713333333333,0.27776666666666666,0.04423333333333333
76,18,36824.334,0.8470383333333333,27.5331,0.26263333333333333,0.06533333333333333
76,20,36828.452,0.8469755555555556,27.5444,0.24303333333333332,0.09623333333333334
76,22,36831.922666666665,0.8468607407407407,27.565066666666667,0.21846666666666667,0.14146666666666666
76,24,36833.371333333336,0.8466675925925926,27.599833333333333,0.18933333333333333,0.20536666666666667
76,26,36830.11866666667,0.8463596296296296,27.655266666666666,0.15833333333333333,0.2918
76,28,36819.59533333333,0.8458975925925926,27.738433333333333,0.1275,0.4058
76,30,36799.0,0.8452244444444444,27.8596,0.0972,0.5572666666666667
76,32,36764.726,0.844283888888889,28.0289,0.07013333333333334,0.7536333333333334
76,34,36712.651333333335,0.8430142592592593,28.257433333333335,0.04973333333333333,1.0025666666666666
76,36,36641.81,0.841373888888889,28.5527,0.03326666666666667,1.3143
76,38,36548.89266666667,0.8392912962962963,28.927566666666667,0.020633333333333333,1.7018
76,40,36433.004,0.8367455555555556,29.3858,0.0116,2.1690666666666667
78,0,36982.56933333333,0.8575737037037038,25.636733333333332,0.41856666666666664,0.0036333333333333335
78,2,36983.037333333334,0.8575737037037038,25.636733333333332,0.4172666666666667,0.004933333333333333
78,4,36983.70933333333,0.8575737037037038,25.636733333333332,0.4154,0.0068
78,6,36984.664,0.8575733333333334,25.6368,0.4127,0.009566666666666666
78,8,36986.15,0.8575727777777777,25.6369,0.4085,0.013866666666666666
78,10,36988.22666666667,0.8575707407407407,25.637266666666665,0.40246666666666664,0.020266666666666665
78,12,36991.228,0.8575666666666666,25.638,0.3936,0.029866666666666666
78,14,36995.11866666667,0.8575551851851853,25.640066666666666,0.3813,0.04423333333333333
78,16,37000.09,0.8575316666666667,25.6443,0.36443333333333333,0.06533333333333333
78,18,37006.006,0.8574849999999999,25.6527,0.3419333333333333,0.09623333333333334
78,20,37011.998,0.8573927777777778,25.6693,0.3133,0.14146666666666666
78,22,37017.27,0.8572338888888889,25.6979,0.278,0.20536666666666667
78,24,37018.66733333333,0.8569675925925926,25.745833333333334,0.2395,0.2918
78,26,37014.11666666667,0.8565590740740741,25.819366666666667,0.19903333333333334,0.4058
78,28,37000.34133333333,0.8559470370370371,25.92953333333333,0.15773333333333334,0.5572666666666667
78,30,36973.424666666666,0.8550724074074074,26.086966666666665,0.1188,0.7536333333333334
78,32,36929.63733333333,0.8538770370370371,26.302133333333334,0.08503333333333334,1.0025666666666666
78,34,36864.16933333333,0.8522848148148149,26.588733333333334,0.0599,1.3143
78,36,36776.439333333336,0.8502487037037038,26.955233333333332,0.0389,1.7018
78,38,36664.498,0.8477383333333333,27.4071,0.0235,2.1690666666666667
78,40,36526.566,0.8447105555555555,27.9521,0.013033333333333333,2.7245333333333335
80,0,37138.126,0.8678733333333333,23.7828,0.5520333333333334,0.004933333333333333
80,2,37138.798,0.8678733333333333,23.7828,0.5501666666666667,0.0068
80,4,37139.794,0.8678733333333333,23.7828,0.5474,0.009566666666666666
80,6,37141.30066666667,0.8678729629629629,23.782866666666667,0.5431666666666667,0.013866666666666666
80,8,37143.522,0.8678722222222223,23.783,0.5369,0.020266666666666665
80,10,37146.62666666666,0.867869074074074,23.783566666666665,0.5278666666666667,0.029866666666666666
80,12,37151.11666666667,0.8678629629629628,23.784666666666666,0.5146,0.04423333333333333
80,14,37156.956,0.8678472222222222,23.7875,0.49633333333333335,0.06533333333333333
80,16,37164.50466666667,0.8678151851851853,23.793266666666668,0.4712,0.09623333333333334
